Team,lon,lat,league
NYY,-74.006,40.7128,AL
BOS,-71.0859,42.3601,AL
CHW,-87.748,41.72,AL
KC,-95.5786,39.0997,AL
HOU,-95.3698,29.7604,AL
TOR,-79.3832,43.6532,AL
